"filename", "language", "Python", "JSON", "JSON with Comments", "TOML", "Shell Script", "Markdown", "Draw.io", "XML", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\plot_settings.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\read_excel_file.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 75
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 28
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 70
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings_constants.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 35
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\__init__.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 22
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_cli_view_command_processor_binding.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 5, 135
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_view_model.py", "Python", 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 916, 18, 1862
"c:\Users\ppain\repos\python\p3_budman\src\budman_workflows\__init__.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 41
"c:\Users\ppain\repos\python\p3_budman\src\budman_workflows\budget_categorization.py", "Python", 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 28, 769
"c:\Users\ppain\repos\python\p3_budman\src\budman_workflows\budget_category_mapping.py", "Python", 629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 6, 763
"c:\Users\ppain\repos\python\p3_budman\src\docs\Architecture V2.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 3344, 0, 0, 0, 0, 1, 3345
"c:\Users\ppain\repos\python\p3_budman\src\docs\Architecture V3.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 4087, 0, 0, 0, 0, 1, 4088
"c:\Users\ppain\repos\python\p3_budman\src\docs\Architecture V4.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 3975, 0, 0, 0, 0, 1, 3976
"c:\Users\ppain\repos\python\p3_budman\src\docs\ArchitectureV1.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 3028, 0, 0, 0, 0, 1, 3029
"c:\Users\ppain\repos\python\p3_budman\src\docs\BudgetManagerDesignLanguage.md", "Markdown", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 61, 147
"c:\Users\ppain\repos\python\p3_budman\src\docs\budman_import_graph.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 3045, 0, 0, 0, 0, 1, 3046
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\__init__.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 26
