"filename", "language", "Markdown", "JSON", "Ini", "pip requirements", "JSON with Comments", "TOML", "Python", "Shell Script", "XML", "Draw.io", "CSV", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\data_context_binding.py", "Python", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 76, 6, 124
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\model_base_ABC.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 23, 2, 31
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\model_binding_ABC.py", "Python", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 20, 2, 33
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\mvvm_namespace.py", "Python", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 61, 10, 109
"c:\Users\ppain\repos\python\p3_budman\src\scripts\arg_lesson.py", "Python", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 8, 6, 56
"c:\Users\ppain\repos\python\p3_budman\src\scripts\bdm_store.py", "Python", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 113, 8, 276
"c:\Users\ppain\repos\python\p3_budman\src\scripts\bdm_workbook.py", "Python", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 21, 2, 81
"c:\Users\ppain\repos\python\p3_budman\src\scripts\copy_dawio_files.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 5
"c:\Users\ppain\repos\python\p3_budman\src\scripts\doit.py", "Python", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 22, 5, 98
"c:\Users\ppain\repos\python\p3_budman\src\scripts\excel_app.py", "Python", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 61, 3, 104
"c:\Users\ppain\repos\python\p3_budman\src\scripts\fooey.py", "Python", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 76, 7, 144
"c:\Users\ppain\repos\python\p3_budman\src\scripts\richlesson.py", "Python", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 6, 55
"c:\Users\ppain\repos\python\p3_budman\src\scripts\show_categories.py", "Python", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 26, 3, 85
"c:\Users\ppain\repos\python\p3_budman\src\scripts\txn_cats.py", "Python", 0, 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 200, 38, 630
"c:\Users\ppain\repos\python\p3_budman\tach.toml", "TOML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\ppain\repos\python\p3_budman\tests\test_bdm_store\test_bsm_bdm_store.py", "Python", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 31, 4, 162
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budget_domain_model_working_data_base_interface.py", "Python", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 76, 4, 198
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budman_data_context_base_interface.py", "Python", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 61, 3, 228
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budman_data_context_client_interface.py", "Python", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 20, 7, 198
