"filename", "language", "pip requirements", "Python", "Markdown", "TOML", "Draw.io", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\docs\Architecture V5.drawio", "Draw.io", 0, 0, 0, 0, 7395, 0, 1, 7396
"c:\Users\ppain\repos\python\p3_budman\src\docs\ArchitectureV1.drawio", "Draw.io", 0, 0, 0, 0, -3028, 0, -1, -3029
"c:\Users\ppain\repos\python\p3_budman\src\docs\BudgetManagerDesignLanguage.md", "Markdown", 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\__init__.py", "Python", 0, 94, 0, 0, 0, 20, 0, 114
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\command_processor.py", "Python", 0, 350, 0, 0, 0, 364, 15, 729
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\command_processor_Base_ABC.py", "Python", 0, 74, 0, 0, 0, 87, 15, 176
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\command_processor_Binding.py", "Python", 0, 132, 0, 0, 0, 114, 12, 258
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\data_context.py", "Python", 0, 27, 0, 0, 0, 47, 5, 79
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\data_context_base_ABC.py", "Python", 0, 26, 0, 0, 0, 38, 4, 68
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\data_context_binding.py", "Python", 0, 42, 0, 0, 0, 76, 6, 124
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\mvvm_namespace.py", "Python", 0, 38, 0, 0, 0, 61, 10, 109
"c:\Users\ppain\repos\python\p3_budman\src\scripts\arg_lesson.py", "Python", 0, -18, 0, 0, 0, -24, -21, -63
"c:\Users\ppain\repos\python\p3_budman\src\scripts\bdm_store.py", "Python", 0, -34, 0, 0, 0, -15, -4, -53
"c:\Users\ppain\repos\python\p3_budman\src\scripts\bdm_workbook.py", "Python", 0, 58, 0, 0, 0, 21, 2, 81
"c:\Users\ppain\repos\python\p3_budman\src\scripts\doit.py", "Python", 0, 44, 0, 0, 0, 19, -4, 59
"c:\Users\ppain\repos\python\p3_budman\src\scripts\fooey.py", "Python", 0, 1, 0, 0, 0, -49, -4, -52
"c:\Users\ppain\repos\python\p3_budman\src\scripts\richlesson.py", "Python", 0, -6, 0, 0, 0, -70, 0, -76
"c:\Users\ppain\repos\python\p3_budman\src\scripts\txn_cats.py", "Python", 0, 230, 0, 0, 0, 24, 10, 264
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_domain_model.py", "Python", 0, -2, 0, 0, 0, 0, 0, -2
"Total", "-", 1, 3406, 20, 531, -9174, 1479, 91, -3646
