Budget Category,Level1,Level2,Level3
Shopping.Jewelry,Shopping,Jewelry,
Pets,Pets,,
Pets.Misc,Pets,Misc,
Pets.Boarding,Pets,Boarding,
Pets.Veterinary,Pets,Veterinary,
Pets.Dog Food,Pets,Dog Food,
Pets.Grooming,Pets,Grooming,
Organizations,Organizations,,
Organizations.IEEE,Organizations,IEEE,
Work-related,Work-related,,
Work-related.Training,Work-related,Training,
Subscription.Zoom,Subscription,Zoom,
Work-related.VisualMind,Work-related,VisualMind,
Work-related.ECU Recruiting,Work-related,ECU Recruiting,
Work-related.OTTER-AI,Work-related,OTTER-AI,
Work-related.Linked In,Work-related,Linked In,
Work-related.Software,Work-related,Software,
Income,Income,,
Income.Interest,Income,Interest,
Income.Consulting,Income,Consulting,
Income.HP Inc,Income,HP Inc,
Income.TWC,Income,TWC,
Income.Bank Reward,Income,Bank Reward,
Income.Inheritance,Income,Inheritance,
Banking,Banking,,
Banking.Overdraft Protection,Banking,Overdraft Protection,
Banking.Apple Cash,Banking,Apple Cash,
Banking.Transaction Fee,Banking,Transaction Fee,
Banking.Crypto,Banking,Crypto,
Banking.Transaction,Banking,Transaction,
Banking.TNB Financial,Banking,TNB Financial,
Banking.Adjustment,Banking,Adjustment,
Banking.Payment,Banking,Payment,
Banking.Transfer,Banking,Transfer,
Banking.Preferred Rewards,Banking,Preferred Rewards,
Banking.Late Fee,Banking,Late Fee,
Banking.Interest,Banking,Interest,
Banking.Fraud Dispute,Banking,Fraud Dispute,
Banking.Foreign Transaction Fee,Banking,Foreign Transaction Fee,
Finance,Finance,,
Finance.Experian,Finance,Experian,
Banking.ATM,Banking,ATM,
Banking.Mobile Deposit,Banking,Mobile Deposit,
Crypto,Crypto,,
Crypto.Transfer,Crypto,Transfer,
Taxes,Taxes,,
Taxes.Federal,Taxes,Federal,
Taxes.Williamson County,Taxes,Williamson County,
Mortgage,Mortgage,,
Mortgage.Hogge,Mortgage,Hogge,
Housing.Mortgage,Housing,Mortgage,
Banking.Merrill,Banking,Merrill,
Credit Cards,Credit Cards,,
Credit Cards.Synchrony Bank,Credit Cards,Synchrony Bank,
Credit Cards.Bank of America,Credit Cards,Bank of America,
Credit Cards.Chase,Credit Cards,Chase,
Credit Cards.Band of America,Credit Cards,Band of America,
Investment,Investment,,
Investment.Foris USA,Investment,Foris USA,
Investment.Fidelity,Investment,Fidelity,
Investment.Transfer,Investment,Transfer,
Travel,Travel,,
Travel.Clear,Travel,Clear,
Travel.Food,Travel,Food,
Travel.Parking,Travel,Parking,
Travel.United Airlines,Travel,United Airlines,
Travel.Alaska Airlines,Travel,Alaska Airlines,
Travel.Expedia,Travel,Expedia,
Travel.Luggage,Travel,Luggage,
Travel.Trip Insurance,Travel,Trip Insurance,
Travel.Transportation,Travel,Transportation,
Travel.ColoradoTripJanuary2025,Travel,ColoradoTripJanuary2025,
Travel.NewYorkMarch2024,Travel,NewYorkMarch2024,
Unknown.HomeSense,Unknown,HomeSense,
Unknown.PressNet,Unknown,PressNet,
Unknown.BuyGoods,Unknown,BuyGoods,
Unknown.AAAA EMBROI,Unknown,AAAA EMBROI,
Unknown.DIGISTORE,Unknown,DIGISTORE,
Unknown.VirtualChargesDotCom,Unknown,VirtualChargesDotCom,
Unknown.P3501FEAFA,Unknown,P3501FEAFA,
Unknown.P334C0CC1F,Unknown,P334C0CC1F,
Unknown.BIR JV LLP,Unknown,BIR JV LLP,
Unknown.Pxxxxx2100,Unknown,Pxxxxx2100,
Unknown.PADDLE-COM,Unknown,PADDLE-COM,
Unknown.ATGPay,Unknown,ATGPay,
Unknown.Wise Inc,Unknown,Wise Inc,
Unknown.PayPal,Unknown,PayPal,
Temp,Temp,,
Temp.Blackmail,Temp,Blackmail,
Unknown.FFNHELP,Unknown,FFNHELP,
Unknown.GEDMATCH,Unknown,GEDMATCH,
Unknown.DJO-CMF,Unknown,DJO-CMF,
Temp.Chat Site,Temp,Chat Site,
Temp.Chat Fraud,Temp,Chat Fraud,
Temp.Fraud Search,Temp,Fraud Search,
Temp.Massage,Temp,Massage,
Temp.Vape,Temp,Vape,
Banking.Checks to Categorize,Banking,Checks to Categorize,
Housing.Improvements,Housing,Improvements,
Organizations.DRT,Organizations,DRT,
Housing.Maid Service,Housing,Maid Service,
Travel.Passport Services,Travel,Passport Services,
Groceries,Groceries,,
Groceries.Detergent Maria Oyestas,Groceries,Detergent Maria Oyestas,
Professional and Historical Organizations,Professional and Historical Organizations,,
Professional and Historical Organizations.DAR,Professional and Historical Organizations,DAR,
Misc,Misc,,
Misc.Reimbursement,Misc,Reimbursement,
Banking.Laura Painter,Banking,Laura Painter,
