"filename", "language", "Python", "TOML", "Shell Script", "Markdown", "Draw.io", "XML", "JSON", "JSON with Comments", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context_binding_class.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 42, 393
"c:\Users\ppain\repos\python\p3_budman\src\budman_model.svg", "XML", 0, 0, 0, 0, 0, 369, 0, 0, 0, 0, 71, 1, 441
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\__init__.py", "Python", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 189
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\bdm_singleton_meta.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 49
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\bdm_workbook_class.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 4, 117
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\design_language_namespace.py", "Python", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 11, 379
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\apply_mapping_to_excel_file.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 20, 114
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\plot_settings.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\read_excel_file.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 75
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 70
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings_constants.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 23
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\__init__.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 22
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_cli_view_datacontext.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 3, 173
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_view_model.py", "Python", 1001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 990, 47, 2038
"c:\Users\ppain\repos\python\p3_budman\src\budman_workflows\__init__.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 41
"c:\Users\ppain\repos\python\p3_budman\src\budman_workflows\budget_categorization.py", "Python", 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 28, 769
